Field,Label,Value
id,Dataset ID,6a1e00b3-0ff2-42ba-ba8c-efc06b0bc930
title,Title of Dataset,State of Palestine - Data on forcibly displaced populations and stateless persons
name,Dataset URL,unhcr-population-data-for-pse
notes,Description,"Data collated by UNHCR, containing information about forcibly displaced populations and stateless persons, spanning across more than 70 years of statistical activities.  The data includes the countries / territories of asylum and origin.  Specific resources are available for end-year population totals, demographics, asylum applications, decisions, and solutions availed by refugees and IDPs (resettlement, naturalisation or returns).  "
dataset_source,Source,UNHCR
organization,Contributor,UNHCR - The UN Refugee Agency
dataset_date,Reference Period,[1976-01-01T00:00:00 TO 2025-06-30T23:59:59]
last_modified,Updated,2026-02-25T14:57:02.117064
data_update_frequency,Expected Update Frequency,Every year
groups,Location,State of Palestine
license_title,License,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO)
methodology,Methodology,Other
methodology_other,Define Methodology,"The biannual collection, compilation, quality assurance and dissemination of statistics on refugees, asylum-seekers, internally displaced persons (IDPs) and stateless people is challenging.  Statistics are collated primarily from governments hosting these populations, UNHCR's own registration data and more rarely data published by non-governmental organizations."
caveats,Caveats/Comments,
tags,Tags,"asylum seekers, internally displaced persons-idp, population, refugees, stateless persons"
resource_1_created,Created,2020-07-30T14:07:39.945669
resource_1_description,Description,"Data collated by UNHCR, containing end-year stock population figures for forcibly displaced persons originating from State of Palestine. Data is available since 1951."
resource_1_format,File Format,CSV
resource_1_download_url,Download URL,https://data.humdata.org/dataset/6a1e00b3-0ff2-42ba-ba8c-efc06b0bc930/resource/7cc2945a-2498-4180-b04b-089959691339/download/end_year_population_totals_originating_pse.csv
resource_1_id,Resource ID,7cc2945a-2498-4180-b04b-089959691339
resource_1_last_modified,Updated,2026-02-25T14:57:02.115651
resource_1_metadata_modified,Metadata Updated,2026-02-25T14:57:13.608765
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,6a1e00b3-0ff2-42ba-ba8c-efc06b0bc930
