Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Refugees,Asylum seekers,Other people in need of international protection,Internally displaced persons,Stateless Persons,Others of concern to UNHCR,Host community
1976,PSE,DZA,State of Palestine,Algeria,3200,0,0,0,0,0,0
1982,PSE,SYR,State of Palestine,Syrian Arab Republic,9800,0,0,0,0,0,0
1983,PSE,SYR,State of Palestine,Syrian Arab Republic,9110,0,0,0,0,0,0
1985,PSE,DZA,State of Palestine,Algeria,2000,0,0,0,0,0,0
1985,PSE,BHR,State of Palestine,Bahrain,500,0,0,0,0,0,0
1985,PSE,SYR,State of Palestine,Syrian Arab Republic,9140,0,0,0,0,0,0
1985,PSE,ARE,State of Palestine,United Arab Emirates,20000,0,0,0,0,0,0
1986,PSE,DZA,State of Palestine,Algeria,2000,0,0,0,0,0,0
1986,PSE,ITA,State of Palestine,Italy,5,0,0,0,0,0,0
1986,PSE,SAU,State of Palestine,Saudi Arabia,50000,0,0,0,0,0,0
1986,PSE,SYR,State of Palestine,Syrian Arab Republic,700,0,0,0,0,0,0
1987,PSE,DZA,State of Palestine,Algeria,2000,0,0,0,0,0,0
1987,PSE,ITA,State of Palestine,Italy,5,0,0,0,0,0,0
1988,PSE,DZA,State of Palestine,Algeria,5000,0,0,0,0,0,0
1988,PSE,ITA,State of Palestine,Italy,14,0,0,0,0,0,0
1989,PSE,DZA,State of Palestine,Algeria,4000,0,0,0,0,0,0
1989,PSE,DNK,State of Palestine,Denmark,3973,0,0,0,0,0,0
1989,PSE,GRC,State of Palestine,Greece,50,0,0,0,0,0,0
1989,PSE,ITA,State of Palestine,Italy,18,0,0,0,0,0,0
1990,PSE,DZA,State of Palestine,Algeria,4000,0,0,0,0,0,0
1990,PSE,DNK,State of Palestine,Denmark,4503,0,0,0,0,0,0
1990,PSE,ITA,State of Palestine,Italy,18,0,0,0,0,0,0
1991,PSE,DZA,State of Palestine,Algeria,4000,0,0,0,0,0,0
1991,PSE,DNK,State of Palestine,Denmark,5569,0,0,0,0,0,0
1991,PSE,IRQ,State of Palestine,Iraq,30000,0,0,0,0,0,0
1991,PSE,ITA,State of Palestine,Italy,18,0,0,0,0,0,0
1991,PSE,KWT,State of Palestine,Kuwait,25590,0,0,0,0,0,0
1992,PSE,DZA,State of Palestine,Algeria,4000,0,0,0,0,0,0
1992,PSE,DNK,State of Palestine,Denmark,6325,0,0,0,0,0,0
1992,PSE,IRQ,State of Palestine,Iraq,60000,0,0,0,0,0,0
1992,PSE,ITA,State of Palestine,Italy,18,0,0,0,0,0,0
1992,PSE,KWT,State of Palestine,Kuwait,25000,0,0,0,0,0,0
1993,PSE,DZA,State of Palestine,Algeria,3998,0,0,0,0,0,0
1993,PSE,DNK,State of Palestine,Denmark,6760,0,0,0,0,0,0
1993,PSE,GHA,State of Palestine,Ghana,5,0,0,0,0,0,0
1993,PSE,GRC,State of Palestine,Greece,76,0,0,0,0,0,0
1993,PSE,CIV,State of Palestine,Côte d'Ivoire,8,0,0,0,0,0,0
1993,PSE,IRQ,State of Palestine,Iraq,62500,0,0,0,0,0,0
1993,PSE,ITA,State of Palestine,Italy,19,0,0,0,0,0,0
1993,PSE,KWT,State of Palestine,Kuwait,8000,0,0,0,0,0,0
1993,PSE,LBR,State of Palestine,Liberia,5,0,0,0,0,0,0
1993,PSE,LBY,State of Palestine,Libya,5,0,0,0,0,0,0
1993,PSE,NGA,State of Palestine,Nigeria,6,0,0,0,0,0,0
1993,PSE,PER,State of Palestine,Peru,6,0,0,0,0,0,0
1993,PSE,PHL,State of Palestine,Philippines,74,0,0,0,0,0,0
1993,PSE,SEN,State of Palestine,Senegal,5,0,0,0,0,0,0
1993,PSE,ARE,State of Palestine,United Arab Emirates,5,0,0,0,0,0,0
1994,PSE,DZA,State of Palestine,Algeria,3998,0,0,0,0,0,0
1994,PSE,BLR,State of Palestine,Belarus,5,0,0,0,0,0,0
1994,PSE,BGR,State of Palestine,Bulgaria,8,0,0,0,0,0,0
1994,PSE,DNK,State of Palestine,Denmark,7206,0,0,0,0,0,0
1994,PSE,GHA,State of Palestine,Ghana,5,0,0,0,0,0,0
1994,PSE,GRC,State of Palestine,Greece,70,0,0,0,0,0,0
1994,PSE,CIV,State of Palestine,Côte d'Ivoire,7,0,0,0,0,0,0
1994,PSE,IRQ,State of Palestine,Iraq,62500,0,0,0,0,0,0
1994,PSE,ITA,State of Palestine,Italy,19,0,0,0,0,0,0
1994,PSE,KWT,State of Palestine,Kuwait,8000,0,0,0,0,0,0
1994,PSE,LBR,State of Palestine,Liberia,7,0,0,0,0,0,0
1994,PSE,LBY,State of Palestine,Libya,7,0,0,0,0,0,0
1994,PSE,NGA,State of Palestine,Nigeria,6,0,0,0,0,0,0
1994,PSE,PAK,State of Palestine,Pakistan,9,0,0,0,0,0,0
1994,PSE,PER,State of Palestine,Peru,6,0,0,0,0,0,0
1994,PSE,ARE,State of Palestine,United Arab Emirates,6,0,0,0,0,0,0
1994,PSE,YEM,State of Palestine,Yemen,700,0,0,0,0,0,0
1995,PSE,EGY,State of Palestine,Egypt,5,0,0,0,0,0,0
1995,PSE,DNK,State of Palestine,Denmark,7640,0,0,0,0,0,0
1995,PSE,FRA,State of Palestine,France,82,0,0,0,0,0,0
1995,PSE,IRQ,State of Palestine,Iraq,62635,0,0,0,0,0,0
1995,PSE,ITA,State of Palestine,Italy,19,0,0,0,0,0,0
1995,PSE,KWT,State of Palestine,Kuwait,1485,0,0,0,0,0,0
1995,PSE,LBR,State of Palestine,Liberia,6,0,0,0,0,0,0
1995,PSE,LBY,State of Palestine,Libya,25,0,0,0,0,0,0
1995,PSE,MLT,State of Palestine,Malta,26,0,0,0,0,0,0
1995,PSE,PER,State of Palestine,Peru,6,0,0,0,0,0,0
